5428358;No_Human;situation
5428359;Follow_Path;expectation
5428359;No Activity detected;hmm_compound
5428359;placement_Place_Outside;intent_placement
5428360;target_Place_Unknown;intent_target
5428360;next_Place_Unknown;intent_next
5428360;########;
5428580;No_Human;situation
5428580;Follow_Path;expectation
5428580;No Activity detected;hmm_compound
5428581;placement_Place_Unknown;intent_placement
5428581;target_Place_A;intent_target
5428581;next_Place_Unknown;intent_next
5428581;########;
5428641;No_Human;situation
5428641;Follow_Path;expectation
5428642;No Activity detected;hmm_compound
5428642;placement_Place_Outside;intent_placement
5428642;target_Place_Unknown;intent_target
5428642;next_Place_Unknown;intent_next
5428643;########;
5428667;No_Human;situation
5428667;Follow_Path;expectation
5428667;No Activity detected;hmm_compound
5428667;placement_Place_Outside;intent_placement
5428667;target_Place_Unknown;intent_target
5428668;next_Place_Unknown;intent_next
5428668;########;
5428692;With_Human;situation
5428693;Follow_Path;expectation
5428693;No Activity detected;hmm_compound
5428693;placement_Place_Outside;intent_placement
5428693;target_Place_Unknown;intent_target
5428694;next_Place_Unknown;intent_next
5428694;########;
5428717;No_Human;situation
5428718;Follow_Path;expectation
5428718;No Activity detected;hmm_compound
5428718;placement_Place_Outside;intent_placement
5428718;target_Place_Unknown;intent_target
5428718;next_Place_Unknown;intent_next
5428719;########;
5428743;No_Human;situation
5428744;Follow_Path;expectation
5428744;Standing_Unmoved;hmm_movement
5428744;No Activity detected;hmm_compound
5428744;placement_Place_Outside;intent_placement
5428745;target_Place_Unknown;intent_target
5428745;next_Place_Unknown;intent_next
5428745;########;
5428776;No_Human;situation
5428776;Follow_Path;expectation
5428776;No Activity detected;hmm_compound
5428777;placement_Place_Outside;intent_placement
5428777;target_Place_Unknown;intent_target
5428777;next_Place_Unknown;intent_next
5428777;########;
5428806;No_Human;situation
5428806;Follow_Path;expectation
5428806;No Activity detected;hmm_compound
5428807;placement_Place_Outside;intent_placement
5428807;target_Place_Unknown;intent_target
5428808;next_Place_Unknown;intent_next
5428808;########;
5428844;No_Human;situation
5428845;Follow_Path;expectation
5428846;No Activity detected;hmm_compound
5428846;placement_Place_Outside;intent_placement
5428846;target_Place_Unknown;intent_target
5428847;next_Place_Unknown;intent_next
5428848;########;
5428874;No_Human;situation
5428875;Follow_Path;expectation
5428875;Standing_Unmoved;hmm_movement
5428875;No Activity detected;hmm_compound
5428875;placement_Place_Outside;intent_placement
5428876;target_Place_Unknown;intent_target
5428876;next_Place_Unknown;intent_next
5428876;########;
5428900;No_Human;situation
5428900;Follow_Path;expectation
5428900;No Activity detected;hmm_compound
5428901;placement_Place_Outside;intent_placement
5428901;target_Place_Unknown;intent_target
5428901;next_Place_Unknown;intent_next
5428901;########;
5428925;No_Human;situation
5428926;Follow_Path;expectation
5428926;No Activity detected;hmm_compound
5428926;placement_Place_Outside;intent_placement
5428926;target_Place_Unknown;intent_target
5428927;next_Place_Unknown;intent_next
5428927;########;
5428953;No_Human;situation
5428954;Follow_Path;expectation
5428954;Standing_Unmoved;hmm_movement
5428954;No Activity detected;hmm_compound
5428954;placement_Place_Outside;intent_placement
5428955;target_Place_Unknown;intent_target
5428955;next_Place_Unknown;intent_next
5428955;########;
5428980;No_Human;situation
5428981;Follow_Path;expectation
5428981;No Activity detected;hmm_compound
5428981;placement_Place_Outside;intent_placement
5428981;target_Place_Unknown;intent_target
5428982;next_Place_Unknown;intent_next
5428982;########;
5429006;No_Human;situation
5429006;Follow_Path;expectation
5429006;No Activity detected;hmm_compound
